GPL_NAME,GPL_TYPE,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
Bracknell Forest,Grocery & pharmacy,E06000036,Bracknell Forest,E06,Unitary Authority,-5,3,-1,-5,1,2,1,-2,3,8,3,1,4,6,3,9,4,6,4,10,5,3,8,8,7,17,16,15,9,30,33,37,36,20,12,-6,1,-15,-15,-21,-24,-35,-41
Bracknell Forest,Parks,E06000036,Bracknell Forest,E06,Unitary Authority,NA,NA,NA,NA,NA,NA,-7,-24,NA,NA,NA,NA,NA,-35,0,NA,NA,NA,NA,NA,-8,-2,NA,NA,NA,NA,NA,-12,-17,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,-45,-56
Bracknell Forest,Transit stations,E06000036,Bracknell Forest,E06,Unitary Authority,-8,-4,-4,-10,-4,-7,0,10,-5,-2,-5,-3,-3,-3,-8,-3,-5,-10,-11,-7,0,-2,-1,-7,-11,-17,-15,-21,-8,-19,-34,-40,-46,-45,-48,-35,-57,-69,-72,-72,-70,-75,-69
Bracknell Forest,Workplace,E06000036,Bracknell Forest,E06,Unitary Authority,-4,-16,-16,-15,-17,-18,-3,0,-3,-1,1,-1,-2,1,-3,-2,-1,-1,-2,-3,1,-3,-2,-2,-2,-5,-8,-3,-9,-14,-23,-31,-35,-36,-26,-32,-52,-65,-69,-72,-71,-56,-58
Bracknell Forest,Residential,E06000036,Bracknell Forest,E06,Unitary Authority,NA,2,3,3,3,3,NA,NA,1,1,0,1,0,NA,NA,0,1,1,2,0,NA,NA,1,2,2,2,3,NA,NA,5,10,14,15,15,NA,NA,20,28,30,31,NA,NA,NA
Bridgend County Borough,Retail & recreation,W06000013,Bridgend,W06,Unitary Authority,-11,13,11,6,10,8,-1,-1,-6,-1,2,7,-14,5,9,9,9,-3,4,3,1,8,2,-3,2,3,3,2,-4,9,-11,-15,-15,-20,-37,-52,-38,-67,-71,-71,-75,-81,-85
Bridgend County Borough,Grocery & pharmacy,W06000013,Bridgend,W06,Unitary Authority,-6,0,1,-2,1,3,-3,0,-2,6,2,4,1,6,6,6,8,5,6,8,1,3,2,4,8,17,13,12,9,18,20,21,22,10,12,-11,-8,-23,-28,-30,-31,-40,-43
Bridgend County Borough,Parks,W06000013,Bridgend,W06,Unitary Authority,NA,NA,NA,NA,NA,NA,-5,30,NA,NA,NA,NA,-6,-11,30,NA,NA,NA,NA,NA,33,67,NA,NA,NA,NA,NA,45,51,NA,NA,NA,NA,NA,75,79,NA,NA,NA,NA,-17,-61,-48
Bridgend County Borough,Transit stations,W06000013,Bridgend,W06,Unitary Authority,-14,-4,-1,-8,-7,-4,7,6,-5,-2,1,1,-2,-16,7,-1,6,-6,-3,-1,-3,9,-3,-2,-4,-6,-2,-11,-5,-9,-18,-28,-30,-28,-35,-5,-37,-56,-59,-58,-61,-66,-59
Bridgend County Borough,Workplace,W06000013,Bridgend,W06,Unitary Authority,2,-15,-14,-15,-15,-15,1,1,-3,1,0,2,-3,1,5,1,2,1,1,1,2,1,-2,-1,-1,-2,-2,-2,2,-6,-12,-18,-21,-25,-22,-23,-39,-53,-59,-61,-62,-54,-50
Bridgend County Borough,Residential,W06000013,Bridgend,W06,Unitary Authority,NA,3,3,3,3,2,1,NA,2,1,1,0,3,2,NA,0,0,1,0,0,1,NA,1,2,1,2,1,3,NA,3,7,9,10,11,NA,NA,15,21,24,24,25,NA,NA
Brighton and Hove,Retail & recreation,E06000043,Brighton and Hove,E06,Unitary Authority,-18,14,13,10,10,10,1,2,-5,3,2,-1,-7,12,6,14,2,-5,-13,8,1,4,3,-6,-4,-2,-4,-11,-14,-1,-22,-31,-34,-46,-62,-68,-56,-77,-78,-79,-81,-88,-89
Brighton and Hove,Grocery & pharmacy,E06000043,Brighton and Hove,E06,Unitary Authority,-14,0,-3,-2,-2,-1,-1,-3,-4,5,1,2,-5,0,2,4,3,-1,-5,6,1,3,1,3,6,10,11,7,5,15,18,18,18,2,-2,-17,-15,-28,-31,-31,-35,-42,-48
Brighton and Hove,Parks,E06000043,Brighton and Hove,E06,Unitary Authority,-49,20,30,13,12,23,-10,18,-18,2,15,7,-32,-25,25,32,24,-14,-31,34,-3,19,12,-13,5,18,9,-4,6,66,16,-2,-3,-22,-9,3,15,-10,5,5,-18,-60,-59
Brighton and Hove,Transit stations,E06000043,Brighton and Hove,E06,Unitary Authority,-9,-2,0,-2,-4,2,0,17,-4,-3,-1,-1,0,14,10,3,0,-5,-5,5,2,6,-2,-4,-5,-6,-8,-15,-11,-17,-32,-40,-45,-49,-50,-53,-57,-68,-72,-72,-73,-75,-77
Brighton and Hove,Workplace,E06000043,Brighton and Hove,E06,Unitary Authority,-6,-13,-13,-13,-14,-15,-2,-2,-2,1,1,0,0,-2,0,0,1,0,-2,0,0,-2,0,-3,-2,-2,-7,-6,-8,-13,-24,-33,-38,-39,-34,-41,-56,-68,-73,-74,-74,-64,-64
Brighton and Hove,Residential,E06000043,Brighton and Hove,E06,Unitary Authority,3,2,2,2,3,2,0,0,1,0,0,0,1,0,-1,0,0,1,3,-1,0,-1,1,2,2,2,3,3,2,4,10,13,15,17,13,11,20,26,28,29,30,NA,NA
Buckinghamshire,Retail & recreation,E10000002,Buckinghamshire,E10,County,-16,9,6,4,4,5,-2,-6,-4,1,0,0,0,3,5,4,2,-1,-1,5,-1,0,1,1,3,2,-1,-5,-17,0,-12,-16,-18,-25,-45,-55,-42,-66,-68,-70,-73,-81,-85
Buckinghamshire,Grocery & pharmacy,E10000002,Buckinghamshire,E10,County,-12,-1,-4,-4,-5,-4,-5,-4,-2,4,-1,-1,-1,1,2,5,4,5,3,6,2,2,4,6,5,13,13,9,5,25,27,31,33,13,3,-11,-6,-22,-25,-26,-28,-38,-45
Buckinghamshire,Parks,E10000002,Buckinghamshire,E10,County,-40,10,5,-2,-3,8,-2,0,-7,-6,-4,-5,-10,-21,18,2,4,-8,-8,6,13,4,4,-5,13,7,3,4,-20,21,4,7,-9,2,32,38,11,-8,-6,10,-17,-42,-43
Buckinghamshire,Transit stations,E10000002,Buckinghamshire,E10,County,-10,-3,-5,-3,-5,-2,3,2,0,0,-2,-1,0,-3,20,-2,-3,-2,-6,0,-2,6,-5,-6,-7,-9,-11,-18,-21,-18,-31,-38,-40,-39,-42,-37,-49,-63,-66,-68,-69,-73,-74
Buckinghamshire,Workplace,E10000002,Buckinghamshire,E10,County,-4,-18,-17,-18,-19,-19,-4,-1,-1,1,0,-1,-1,-2,0,1,1,0,0,0,1,0,0,-1,-1,-3,-5,-4,-8,-10,-19,-26,-31,-32,-26,-33,-50,-63,-67,-69,-69,-58,-57
Buckinghamshire,Residential,E10000002,Buckinghamshire,E10,County,1,2,3,3,4,3,0,0,1,0,0,1,1,0,-1,0,0,1,1,0,0,0,1,1,1,2,3,3,3,5,10,13,15,15,12,10,20,27,29,30,31,20,16
Caerphilly County Borough,Retail & recreation,W06000018,Caerphilly,W06,Unitary Authority,-17,3,2,1,3,2,-2,-2,-7,-2,3,7,-4,4,10,9,6,4,7,9,1,2,0,-2,5,2,3,-4,-8,3,-13,-17,-13,-18,-34,-43,-33,-68,-69,-70,-70,-80,-78
Caerphilly County Borough,Grocery & pharmacy,W06000018,Caerphilly,W06,Unitary Authority,-10,-6,-6,-4,-3,-2,-2,-1,-4,9,2,3,1,5,0,2,2,3,5,7,2,0,6,6,7,13,13,6,6,17,17,21,21,9,10,-11,-10,-26,-25,-27,-28,-36,-41
Caerphilly County Borough,Parks,W06000018,Caerphilly,W06,Unitary Authority,NA,NA,-12,-22,NA,-15,-15,-24,NA,NA,NA,NA,-33,-27,-6,NA,NA,NA,NA,15,-2,-19,NA,-12,0,NA,2,-10,-30,NA,-26,-33,-19,-15,12,-4,NA,-26,-24,-12,-27,-53,-52
Caerphilly County Borough,Transit stations,W06000018,Caerphilly,W06,Unitary Authority,-18,-8,-10,-15,-15,-13,-8,-4,-8,1,-4,-6,-12,-19,-5,1,3,-7,-5,-1,-6,-1,-6,0,-8,-9,-6,-14,-14,-10,-24,-30,-33,-32,-35,-12,-40,-54,-60,-60,-60,-65,-54
Caerphilly County Borough,Workplace,W06000018,Caerphilly,W06,Unitary Authority,-6,-17,-15,-17,-16,-17,-3,-6,-3,0,-1,1,-1,0,2,1,2,1,1,0,1,-2,0,0,0,-2,-4,-1,-6,-6,-10,-18,-22,-25,-21,-25,-40,-52,-59,-60,-62,-52,-47
Caerphilly County Borough,Residential,W06000018,Caerphilly,W06,Unitary Authority,NA,3,3,3,3,3,1,0,1,1,1,0,2,1,0,0,0,1,0,-1,0,-1,1,1,1,2,1,3,NA,2,6,9,10,11,9,NA,15,21,24,24,25,NA,NA
Cambridgeshire,Retail & recreation,E10000003,Cambridgeshire,E10,County,-10,14,7,9,8,9,-3,-2,0,0,1,3,0,2,7,7,2,2,2,7,-1,7,2,0,2,2,-1,-12,-18,-4,-19,-27,-25,-34,-56,-62,-48,-73,-75,-76,-78,-86,-87
Cambridgeshire,Grocery & pharmacy,E10000003,Cambridgeshire,E10,County,-9,0,-3,-4,-5,-2,-5,-5,-2,4,-2,-2,-3,-2,-1,2,0,1,1,3,-1,2,2,6,4,10,9,4,2,19,23,22,23,12,-1,-15,-7,-22,-25,-28,-29,-42,-48
Cambridgeshire,Parks,E10000003,Cambridgeshire,E10,County,-38,22,15,10,-5,15,6,-7,-11,0,5,-3,-15,-12,19,12,7,3,-12,18,16,80,-2,3,18,3,8,7,-20,18,7,-11,-6,0,13,11,3,-11,-7,-8,-19,-52,-51
Cambridgeshire,Transit stations,E10000003,Cambridgeshire,E10,County,-7,2,1,2,2,3,8,12,-2,-1,0,2,3,-1,10,0,-2,0,-1,3,9,17,-1,-5,-4,-7,-9,-16,-18,-19,-30,-38,-40,-45,-51,-53,-56,-65,-71,-72,-74,-78,-79
Cambridgeshire,Workplace,E10000003,Cambridgeshire,E10,County,-4,-17,-15,-15,-16,-17,-3,-2,-1,1,1,-1,-1,-1,0,0,1,1,0,0,2,1,0,0,-1,-2,-6,-4,-6,-12,-20,-29,-34,-36,-27,-30,-51,-61,-66,-69,-69,-55,-54
Cambridgeshire,Residential,E10000003,Cambridgeshire,E10,County,1,2,2,2,3,3,0,0,1,0,0,1,1,1,-1,0,0,1,1,0,0,-1,1,1,2,2,3,3,3,5,9,13,15,16,11,9,20,26,28,29,30,20,16
Cardiff,Retail & recreation,W06000015,Cardiff,W06,Unitary Authority,-13,7,7,3,10,9,20,1,-10,-9,-2,2,-10,-4,-1,9,4,-1,-1,0,-8,-5,-4,-1,3,-6,-6,-9,-12,-7,-26,-35,-36,-44,-62,-66,-56,-76,-78,-78,-82,-87,-86
Cardiff,Grocery & pharmacy,W06000015,Cardiff,W06,Unitary Authority,-7,1,-1,-1,-1,1,-2,-3,-4,1,-1,1,-4,3,3,2,4,1,5,7,0,2,1,2,5,9,12,9,7,17,16,13,15,3,-5,-18,-17,-30,-33,-34,-32,-41,-45
Cardiff,Parks,W06000015,Cardiff,W06,Unitary Authority,-15,4,8,-12,-1,14,43,11,-12,-3,3,14,-19,-12,2,6,12,-17,-3,10,-3,15,-12,-10,5,-11,4,-2,-12,15,-21,-39,-33,-23,-25,-15,-25,-37,-35,-32,-43,-65,-48
Cardiff,Transit stations,W06000015,Cardiff,W06,Unitary Authority,-7,-2,-4,-6,-5,6,30,18,1,-1,-1,1,1,-9,6,3,0,-3,-2,4,-1,4,-3,-2,-5,-9,-5,-16,-8,-16,-34,-45,-49,-52,-61,-55,-63,-75,-78,-79,-80,-82,-79
Cardiff,Workplace,W06000015,Cardiff,W06,Unitary Authority,-2,-14,-13,-13,-14,-15,-1,0,-2,1,1,1,-2,2,2,0,1,1,1,0,1,2,-2,-1,-2,-3,-6,-4,-6,-10,-20,-30,-36,-40,-32,-34,-54,-66,-70,-72,-71,-61,-59
Cardiff,Residential,W06000015,Cardiff,W06,Unitary Authority,1,2,2,3,3,3,0,0,1,0,0,0,1,1,-1,0,0,1,1,0,0,-1,1,2,1,2,3,3,3,4,9,13,15,16,12,10,19,26,28,29,30,21,17
Carmarthenshire,Retail & recreation,W06000010,Carmarthenshire,W06,Unitary Authority,-9,10,7,5,10,5,-1,4,0,3,2,10,-2,5,8,7,5,0,4,5,2,6,-1,1,0,6,1,-3,-5,2,-13,-17,-16,-21,-37,-47,-37,-66,-69,-68,-71,-78,-81
Carmarthenshire,Grocery & pharmacy,W06000010,Carmarthenshire,W06,Unitary Authority,-2,3,1,-4,1,1,-2,-1,0,6,-2,0,-2,5,2,1,2,2,7,5,3,2,0,4,2,16,15,19,15,24,22,23,25,10,9,-12,-7,-25,-28,-29,-29,-35,-46
Carmarthenshire,Parks,W06000010,Carmarthenshire,W06,Unitary Authority,-21,38,10,-17,13,7,-6,-4,-11,-9,1,20,-25,-16,19,28,19,-16,13,11,-7,5,0,-11,-1,13,27,0,13,52,-14,-17,-4,31,19,38,15,-21,-18,-12,-25,-58,-57
Carmarthenshire,Transit stations,W06000010,Carmarthenshire,W06,Unitary Authority,-9,4,-2,-7,-3,-4,-4,-9,-3,-5,-5,5,-10,-9,2,1,-2,-8,1,6,-4,1,-4,-4,-6,-3,2,-12,-10,-4,-21,-29,-23,-19,-26,-20,-30,-49,-55,-51,-54,-65,-60
Carmarthenshire,Workplace,W06000010,Carmarthenshire,W06,Unitary Authority,-3,-18,-17,-19,-20,-19,-3,-5,-3,0,0,0,-1,-3,0,1,1,1,1,0,2,-3,0,0,-1,0,-2,-5,-8,-5,-10,-16,-21,-23,-24,-25,-40,-53,-59,-61,-61,-56,-49
Carmarthenshire,Residential,W06000010,Carmarthenshire,W06,Unitary Authority,NA,2,3,4,3,3,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,-1,1,1,1,1,1,3,NA,2,6,8,10,10,10,NA,13,20,22,23,24,NA,NA
Causeway Coast and Glens,Retail & recreation,N09000004,Causeway Coast and Glens,N09,Local Government District,-2,17,15,8,10,3,-7,-4,-6,-4,-4,-2,1,-3,1,3,6,10,7,5,1,4,-2,3,0,-2,4,-1,1,16,4,-14,-17,-19,-42,-50,-44,-69,-74,-75,-78,-82,-87
Causeway Coast and Glens,Grocery & pharmacy,N09000004,Causeway Coast and Glens,N09,Local Government District,-5,0,-1,-2,0,-2,-1,-3,1,2,-2,4,7,3,1,2,3,5,6,7,6,3,4,5,6,25,20,17,19,30,15,15,17,15,20,1,-2,-16,-22,-23,-24,-28,-41
Causeway Coast and Glens,Parks,N09000004,Causeway Coast and Glens,N09,Local Government District,NA,NA,NA,NA,NA,15,4,-5,NA,NA,NA,NA,-4,-3,-7,NA,NA,NA,NA,21,18,5,NA,NA,NA,NA,NA,28,29,NA,NA,NA,NA,NA,27,61,NA,-26,-32,-24,-28,-49,-66
Causeway Coast and Glens,Transit stations,N09000004,Causeway Coast and Glens,N09,Local Government District,-5,-6,-5,-9,-4,-12,-11,-9,-6,-3,-4,-2,-3,-12,0,2,1,5,3,7,-6,2,-6,-3,-15,-15,-7,-13,-9,-19,-30,-23,-23,-25,-37,-26,-46,-57,-64,-59,-63,-61,-64
Causeway Coast and Glens,Workplace,N09000004,Causeway Coast and Glens,N09,Local Government District,-2,-15,-14,-13,-10,-11,-3,-1,-3,1,1,1,-2,0,3,1,2,1,1,2,1,3,3,2,2,0,1,1,-5,-16,-49,-18,-20,-20,-25,-33,-37,-50,-59,-61,-63,-58,-55
Causeway Coast and Glens,Residential,N09000004,Causeway Coast and Glens,N09,Local Government District,NA,3,3,3,2,3,1,NA,2,0,1,1,0,1,NA,0,-1,-1,0,0,0,NA,1,0,1,1,1,3,NA,5,15,8,10,11,NA,NA,15,21,24,25,26,NA,NA
Central Bedfordshire,Retail & recreation,E06000056,Central Bedfordshire,E06,Unitary Authority,-8,12,8,6,4,5,-3,-2,0,-2,2,0,-1,2,9,7,2,1,-2,7,3,7,5,2,4,2,0,0,-5,9,-3,-8,-10,-17,-33,-43,-27,-64,-66,-68,-71,-80,-82
Central Bedfordshire,Grocery & pharmacy,E06000056,Central Bedfordshire,E06,Unitary Authority,-7,0,0,-3,-3,0,-3,-3,-1,6,0,1,2,0,1,4,5,6,3,7,4,4,5,8,9,12,16,13,8,26,32,35,36,21,9,-7,-1,-17,-20,-24,-23,-37,-44
Central Bedfordshire,Parks,E06000056,Central Bedfordshire,E06,Unitary Authority,-49,3,3,-4,-16,1,-6,-16,-20,-7,-3,-12,-14,-25,9,8,-1,-7,-18,22,-3,3,-2,1,10,0,4,-3,-22,22,-1,-1,-10,13,35,55,16,28,13,16,0,-41,-41
Central Bedfordshire,Transit stations,E06000056,Central Bedfordshire,E06,Unitary Authority,-10,0,3,4,1,4,9,12,-5,0,1,0,-1,3,8,-1,-1,1,-1,3,3,-6,-3,-5,-4,-8,-7,-11,-14,-13,-21,-23,-29,-33,-38,-40,-42,-48,-57,-60,-61,-70,-74
Central Bedfordshire,Workplace,E06000056,Central Bedfordshire,E06,Unitary Authority,-5,-17,-16,-17,-19,-19,-3,-3,0,0,0,-2,-1,-1,-1,1,1,0,-1,0,0,2,0,0,0,-1,-3,-1,-3,-7,-14,-23,-27,-28,-24,-27,-45,-58,-65,-66,-66,-56,-54
Central Bedfordshire,Residential,E06000056,Central Bedfordshire,E06,Unitary Authority,1,2,3,3,3,3,0,0,1,0,0,1,1,0,-1,0,0,1,1,0,0,0,1,1,1,2,2,2,2,4,8,11,13,13,11,9,18,26,28,29,29,20,NA
Ceredigion,Retail & recreation,W06000008,Ceredigion,W06,Unitary Authority,-17,-3,-8,-2,-3,-9,-7,-15,-14,-20,-14,12,-2,17,27,18,7,3,12,8,22,27,9,2,7,9,7,21,19,15,-7,-15,-11,-20,-36,-44,-38,-69,-74,-73,-77,-81,-84
Ceredigion,Grocery & pharmacy,W06000008,Ceredigion,W06,Unitary Authority,36,39,36,34,36,33,26,31,32,38,25,2,2,4,12,10,8,4,4,9,9,9,6,12,6,14,18,17,20,20,24,18,19,7,5,-10,-13,-31,-40,-40,-39,-48,-54
Ceredigion,Parks,W06000008,Ceredigion,W06,Unitary Authority,2,55,48,30,41,25,0,14,0,6,7,14,-4,-4,38,27,34,16,33,52,26,55,21,23,23,23,69,44,56,69,31,14,26,52,28,59,31,-16,-26,-19,-42,-68,-60
Ceredigion,Transit stations,W06000008,Ceredigion,W06,Unitary Authority,NA,11,0,-5,5,9,0,NA,0,2,-2,13,8,0,NA,7,5,5,13,9,3,NA,2,5,6,5,11,0,NA,7,-3,-21,-15,-17,-28,NA,-31,-55,-56,-56,-63,-72,-69
Ceredigion,Workplace,W06000008,Ceredigion,W06,Unitary Authority,1,-12,-11,-14,-13,-10,1,7,2,7,3,3,4,3,1,3,7,3,2,3,6,8,4,7,3,2,3,-3,-5,0,-7,-19,-25,-25,-29,-34,-47,-59,-64,-66,-65,-58,-57
Ceredigion,Residential,W06000008,Ceredigion,W06,Unitary Authority,NA,2,2,2,3,2,NA,NA,2,1,1,0,2,NA,NA,1,0,2,0,0,NA,NA,2,0,1,2,1,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire East,Retail & recreation,E06000049,Cheshire East,E06,Unitary Authority,-6,7,9,2,1,1,-3,0,-3,0,-2,1,1,1,7,4,2,4,4,7,1,7,-2,2,1,0,1,-7,-5,0,-9,-19,-17,-22,-47,-54,-39,-69,-72,-72,-75,-83,-84
Cheshire East,Grocery & pharmacy,E06000049,Cheshire East,E06,Unitary Authority,-4,-2,-1,-4,-3,-2,-1,1,-1,4,0,3,1,2,6,3,3,6,7,7,4,4,2,6,7,12,11,11,12,24,28,27,27,11,10,-10,-5,-24,-26,-29,-31,-40,-47
Cheshire East,Parks,E06000049,Cheshire East,E06,Unitary Authority,-39,21,22,-7,-16,-7,-18,-22,-14,2,-5,4,-18,-17,9,14,-4,7,21,38,9,3,-10,-1,5,11,18,-1,-6,24,21,-12,29,46,19,-4,-3,-10,-12,-9,-22,-63,-63
Cheshire East,Transit stations,E06000049,Cheshire East,E06,Unitary Authority,5,6,4,3,1,7,7,14,0,1,1,0,5,3,13,8,-2,-1,1,9,7,15,-2,0,-6,-5,1,-11,-7,-17,-22,-33,-32,-30,-41,-42,-45,-58,-63,-65,-68,-75,-75
Cheshire East,Workplace,E06000049,Cheshire East,E06,Unitary Authority,-3,-16,-15,-16,-17,-18,-4,-1,-3,0,0,0,-2,1,1,0,0,0,0,0,1,1,-1,-1,-1,-2,-5,-3,-2,-7,-13,-22,-26,-29,-25,-27,-45,-58,-64,-66,-66,-56,-53
Cheshire East,Residential,E06000049,Cheshire East,E06,Unitary Authority,0,2,2,3,3,3,0,-1,1,1,1,0,1,1,-1,0,0,1,0,0,0,-1,1,1,1,2,2,2,1,3,7,11,11,12,11,8,17,24,26,27,28,19,15
Cheshire West and Chester,Retail & recreation,E06000050,Cheshire West and Chester,E06,Unitary Authority,0,20,19,12,8,7,-3,-1,-1,1,-2,1,0,2,10,4,0,1,3,4,-1,11,-4,1,-2,-2,-2,-8,-4,-3,-13,-23,-21,-29,-54,-62,-49,-74,-77,-77,-79,-87,-88
Cheshire West and Chester,Grocery & pharmacy,E06000050,Cheshire West and Chester,E06,Unitary Authority,-3,0,-1,0,-2,-3,-2,-3,0,8,0,1,2,2,2,4,4,7,6,4,4,4,4,6,6,11,12,12,11,25,27,26,30,11,5,-13,-6,-25,-27,-28,-32,-40,-47
Cheshire West and Chester,Parks,E06000050,Cheshire West and Chester,E06,Unitary Authority,-22,30,24,3,-6,3,-7,-15,-7,-1,-6,-1,-12,-18,6,7,13,-5,13,23,6,24,-5,7,5,1,8,0,2,14,8,-18,5,13,-11,5,-5,-21,-19,-17,-27,-64,-58
Cheshire West and Chester,Transit stations,E06000050,Cheshire West and Chester,E06,Unitary Authority,-8,1,2,1,-3,3,2,2,-2,4,-1,0,2,3,8,4,4,-1,0,4,3,8,-3,1,-1,-4,-2,-8,-7,-10,-21,-31,-29,-33,-46,-42,-45,-60,-65,-65,-67,-77,-77
Cheshire West and Chester,Workplace,E06000050,Cheshire West and Chester,E06,Unitary Authority,0,-17,-17,-17,-18,-19,-2,-2,-3,0,-1,-1,-1,1,4,1,-1,-1,0,-1,0,1,1,0,-1,-2,-5,-3,-3,-7,-13,-21,-25,-26,-24,-29,-44,-57,-63,-65,-66,-58,-55
Cheshire West and Chester,Residential,E06000050,Cheshire West and Chester,E06,Unitary Authority,1,2,2,3,3,3,0,0,1,0,1,0,1,0,-1,0,0,1,0,0,0,-1,1,1,1,1,2,2,1,3,7,10,11,11,10,8,17,23,26,27,27,19,15
City of Bristol,Retail & recreation,E06000023,"Bristol, City of",E06,Unitary Authority,-7,5,11,5,7,7,-3,3,-7,0,-2,6,0,1,9,-2,5,-8,-3,3,-2,7,-7,-1,-5,-8,-7,-19,-20,-12,-24,-38,-39,-46,-67,-68,-58,-76,-80,-79,-82,-88,-87
City of Bristol,Grocery & pharmacy,E06000023,"Bristol, City of",E06,Unitary Authority,-5,-1,0,-3,-1,-1,-5,-1,-3,4,-2,4,1,1,4,3,4,0,4,4,0,3,0,3,3,11,10,6,5,17,22,15,18,4,-9,-20,-17,-27,-30,-32,-34,-44,-47
City of Bristol,Parks,E06000023,"Bristol, City of",E06,Unitary Authority,-34,11,12,-16,3,12,-8,6,-15,-3,-4,41,3,8,32,23,26,-24,-3,26,11,24,1,-7,3,-2,12,3,-9,48,6,-17,-13,10,18,42,34,9,1,21,-7,-44,-25
City of Bristol,Transit stations,E06000023,"Bristol, City of",E06,Unitary Authority,-1,-3,-3,-2,-4,4,10,13,-1,4,1,3,12,11,20,0,-1,-5,-3,2,5,12,-4,-2,-5,-7,-7,-12,-12,-18,-34,-45,-50,-52,-55,-58,-62,-73,-77,-78,-79,-80,-81
City of Bristol,Workplace,E06000023,"Bristol, City of",E06,Unitary Authority,-1,-11,-9,-9,-10,-12,0,2,-1,2,1,2,-3,0,3,0,2,0,0,0,1,3,1,1,0,-1,-5,-1,-5,-10,-22,-33,-39,-41,-30,-34,-55,-66,-71,-72,-72,-59,-57
City of Bristol,Residential,E06000023,"Bristol, City of",E06,Unitary Authority,1,2,2,2,2,2,0,-1,1,0,0,-1,1,0,-2,0,0,1,1,0,-1,-2,1,1,1,2,3,2,2,4,10,15,17,18,12,10,21,28,30,32,33,22,18
Clackmannanshire,Retail & recreation,S12000005,Clackmannanshire,S12,Council Area,-8,-3,-7,-6,-5,-14,-22,1,-8,5,4,17,5,16,4,12,16,10,5,-1,4,5,-1,1,-1,-5,0,-5,4,-1,-8,-14,-11,-24,-40,-50,-35,-71,-75,-77,-77,-83,-89
Clackmannanshire,Grocery & pharmacy,S12000005,Clackmannanshire,S12,Council Area,-9,-3,-2,-3,-5,-7,-9,-5,-7,6,2,0,3,-2,-2,-2,4,2,3,3,-2,-4,-1,2,3,8,9,7,6,17,23,20,20,10,9,-10,-6,-19,-24,-27,-24,-33,-39
Clackmannanshire,Parks,S12000005,Clackmannanshire,S12,Council Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clackmannanshire,Transit stations,S12000005,Clackmannanshire,S12,Council Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55,-56,-53,-53,NA,NA
Clackmannanshire,Workplace,S12000005,Clackmannanshire,S12,Council Area,-1,-16,-15,-19,-20,-18,-5,0,-2,1,2,3,1,1,0,0,2,1,0,3,0,1,0,0,1,-2,-2,2,4,-5,-11,-18,-21,-21,-19,-27,-44,-58,-64,-67,-67,-55,-49
Clackmannanshire,Residential,S12000005,Clackmannanshire,S12,Council Area,NA,2,3,3,NA,NA,NA,NA,2,1,0,-1,1,NA,NA,1,-1,0,0,0,NA,NA,1,1,1,1,0,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conwy Principal Area,Retail & recreation,W06000003,Conwy,W06,Unitary Authority,-2,21,20,14,12,6,0,-4,-2,6,1,3,0,3,12,6,10,6,7,9,12,11,4,7,5,5,7,9,7,10,0,-6,-5,-10,-36,-49,-38,-67,-70,-72,-74,-83,-86
Conwy Principal Area,Grocery & pharmacy,W06000003,Conwy,W06,Unitary Authority,-3,6,5,4,2,0,0,-2,2,9,3,3,4,7,5,10,10,8,11,11,13,9,11,11,10,13,19,20,20,27,26,27,27,15,22,-1,2,-19,-23,-29,-32,-40,-48
Conwy Principal Area,Parks,W06000003,Conwy,W06,Unitary Authority,-22,43,37,32,8,-11,-13,-10,-17,8,5,7,-9,-7,25,24,25,17,29,36,21,30,0,19,19,18,43,31,39,50,35,19,32,50,15,26,10,-16,-9,-21,-37,-70,-70
