GPL_CD,GPL_NM,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,AREALHECT
GGL083,Milton Keynes,E06000042,Milton Keynes,E06,Unitary Authority,E12000008,South East,30862.67
GGL084,Monmouthshire,W06000021,Monmouthshire,W06,Unitary Authority,W92000004,Wales,84908.08
GGL085,Moray,S12000020,Moray,S12,Council Area,S92000003,Scotland,223721.8
GGL086,Na h-Eileanan an Iar,S12000013,Na h-Eileanan Siar,S12,Council Area,S92000003,Scotland,305580.18
GGL087,Neath Port Talbot Principle Area,W06000012,Neath Port Talbot,W06,Unitary Authority,W92000004,Wales,44124.47
GGL088,Newport,W06000022,Newport,W06,Unitary Authority,W92000004,Wales,19037.27
GGL089,Newry and Mourne And Down,N09000010,"Newry, Mourne and Down",N09,Local Government District,N92000002,Northern Ireland,168234.08
GGL090,Norfolk,E10000020,Norfolk,E10,County,E12000006,East of England,538355.44
GGL091,North Ayrshire Council,S12000021,North Ayrshire,S12,Council Area,S92000003,Scotland,88527.62
GGL092,North East Lincolnshire,E06000012,North East Lincolnshire,E06,Unitary Authority,E12000003,Yorkshire and the Humber,19262.29
GGL093,North Lanarkshire,S12000050,North Lanarkshire,S12,Council Area,S92000003,Scotland,47000.22
GGL094,North Lincolnshire,E06000013,North Lincolnshire,E06,Unitary Authority,E12000003,Yorkshire and the Humber,84649.92
GGL095,North Somerset,E06000024,North Somerset,E06,Unitary Authority,E12000009,South West,37371.75
GGL096,North Yorkshire,E10000023,North Yorkshire,E10,County,E12000003,Yorkshire and the Humber,803736.39
GGL097,Northamptonshire,E10000021,Northamptonshire,E10,County,E12000004,East Midlands,236400.52
GGL098,Northumberland,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91
GGL099,Nottinghamshire,J19000002,Nottinghamshire Ceremonial County,J19,Ceremonial County,E12000004,East Midlands,215932.46
GGL100,Orkney,S12000023,Orkney Islands,S12,Council Area,S92000003,Scotland,99052.14
GGL101,Oxfordshire,E10000025,Oxfordshire,E10,County,E12000008,South East,260493.16
GGL102,Pembrokeshire,W06000009,Pembrokeshire,W06,Unitary Authority,W92000004,Wales,161834.49
GGL103,Perth and Kinross,S12000048,Perth and Kinross,S12,Council Area,S92000003,Scotland,528559.34
GGL104,Peterborough,E06000031,Peterborough,E06,Unitary Authority,E12000006,East of England,34337.82
GGL105,Plymouth,E06000026,Plymouth,E06,Unitary Authority,E12000009,South West,7984.97
GGL106,Portsmouth,E06000044,Portsmouth,E06,Unitary Authority,E12000008,South East,4039.12
GGL107,Powys,W06000023,Powys,W06,Unitary Authority,W92000004,Wales,518067.16
GGL108,Reading,E06000038,Reading,E06,Unitary Authority,E12000008,South East,4039.79
GGL109,Redcar and Cleveland,E06000003,Redcar and Cleveland,E06,Unitary Authority,E12000001,North East,24506.98
GGL110,Renfrewshire,S12000038,Renfrewshire,S12,Council Area,S92000003,Scotland,26148.77
GGL111,Rhondda Cynon Taff,W06000016,Rhondda Cynon Taf,W06,Unitary Authority,W92000004,Wales,42415.02
GGL112,Rutland,E06000017,Rutland,E06,Unitary Authority,E12000004,East Midlands,38183.13
GGL113,Scottish Borders,S12000026,Scottish Borders,S12,Council Area,S92000003,Scotland,473178.37
GGL114,Shetland Islands,S12000027,Shetland Islands,S12,Council Area,S92000003,Scotland,146745.88
GGL115,Shropshire,J19000001,Shropshire Ceremonial County,J19,Ceremonial County,E12000005,West Midlands,348758.95
GGL116,Slough,E06000039,Slough,E06,Unitary Authority,E12000008,South East,3254.19
GGL117,Somerset,E10000027,Somerset,E10,County,E12000009,South West,345061.4
GGL118,South Ayrshire Council,S12000028,South Ayrshire,S12,Council Area,S92000003,Scotland,122222.8
GGL119,South Gloucestershire,E06000025,South Gloucestershire,E06,Unitary Authority,E12000009,South West,49703.57
GGL120,South Lanarkshire,S12000029,South Lanarkshire,S12,Council Area,S92000003,Scotland,177189.3
GGL121,South Yorkshire,E11000003,South Yorkshire,E11,Metropolitan County,E12000003,Yorkshire and the Humber,155156.43
GGL122,Southampton,E06000045,Southampton,E06,Unitary Authority,E12000008,South East,4988.08
GGL123,Southend-on-Sea,E06000033,Southend-on-Sea,E06,Unitary Authority,E12000006,East of England,4167.42
GGL124,Staffordshire,E10000028,Staffordshire,E10,County,E12000005,West Midlands,262028.87
GGL125,Stirling,S12000030,Stirling,S12,Council Area,S92000003,Scotland,218696.84
GGL126,Stockton-on-Tees,E06000004,Stockton-on-Tees,E06,Unitary Authority,E12000001,North East,20493.31
GGL127,Stoke-on-Trent,E06000021,Stoke-on-Trent,E06,Unitary Authority,E12000005,West Midlands,9344.85
GGL128,Suffolk,E10000029,Suffolk,E10,County,E12000006,East of England,379996.96
GGL129,Surrey,E10000030,Surrey,E10,County,E12000008,South East,166251.78
GGL130,Swansea,W06000011,Swansea,W06,Unitary Authority,W92000004,Wales,37759.64
GGL131,Swindon,E06000030,Swindon,E06,Unitary Authority,E12000009,South West,23009.33
GGL132,Thurrock,E06000034,Thurrock,E06,Unitary Authority,E12000006,East of England,16383.71
GGL133,Torbay,E06000027,Torbay,E06,Unitary Authority,E12000009,South West,6288.67
GGL134,Torfaen Principal Area,W06000020,Torfaen,W06,Unitary Authority,W92000004,Wales,12569.87
GGL135,Tyne and Wear,E11000007,Tyne and Wear,E11,Metropolitan County,E12000001,North East,54001.43
GGL136,Vale of Glamorgan,W06000014,Vale of Glamorgan,W06,Unitary Authority,W92000004,Wales,33114.47
GGL137,Warrington,E06000007,Warrington,E06,Unitary Authority,E12000002,North West,18062.79
GGL138,Warwickshire,E10000031,Warwickshire,E10,County,E12000005,West Midlands,197507.66
GGL139,West Berkshire,E06000037,West Berkshire,E06,Unitary Authority,E12000008,South East,70416.94
GGL140,West Dunbartonshire Council,S12000039,West Dunbartonshire,S12,Council Area,S92000003,Scotland,15876.57
GGL141,West Lothian,S12000040,West Lothian,S12,Council Area,S92000003,Scotland,42774.19
GGL142,West Midlands,E11000005,West Midlands,E11,Metropolitan County,E12000005,West Midlands,90163.95
GGL143,West Sussex,E10000032,West Sussex,E10,County,E12000008,South East,199105.15
GGL144,West Yorkshire,E11000006,West Yorkshire,E11,Metropolitan County,E12000003,Yorkshire and the Humber,202925.88
GGL145,Wiltshire,E06000054,Wiltshire,E06,Unitary Authority,E12000009,South West,325533.8
GGL146,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,E06,Unitary Authority,E12000008,South East,19650.17
GGL147,Wokingham,E06000041,Wokingham,E06,Unitary Authority,E12000008,South East,17896.55
GGL148,Worcestershire,E10000034,Worcestershire,E10,County,E12000005,West Midlands,174051.41
GGL149,Wrexham Principal Area,W06000006,Wrexham,W06,Unitary Authority,W92000004,Wales,50377.39
GGL150,York,E06000014,York,E06,Unitary Authority,E12000003,Yorkshire and the Humber,27193.7
