Country,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
DE,Residential,-0,0,1,1,1,2,0,0,4,4,2,2,2,1,0,0,1,1,1,2,1,-0,1,3,2,2,4,4,2,6,10,11,14,16,13,10,16,18,18,18,19,12,11,17,17,17,17,19,12,8
DE,Retail & recreation,7,2,2,3,2,2,-1,-0,2,-1,-3,-5,3,-1,8,2,-0,2,-4,-3,1,12,-1,-7,-1,-7,-9,-17,-12,-7,-21,-34,-45,-50,-69,-71,-57,-59,-58,-59,-59,-66,-77,-54,-53,-52,-54,-57,-63,-58
DE,Transit stations,6,1,1,-1,3,-1,9,2,-5,-5,-7,-5,-2,1,4,-1,-3,-4,-5,-7,-2,2,-5,-8,-7,-9,-15,-19,-16,-25,-35,-39,-46,-52,-59,-58,-56,-56,-56,-57,-56,-53,-68,-56,-53,-53,-54,-57,-52,-47
DE,Workplaces,-1,-2,-1,-1,-4,-8,-3,-3,-20,-13,-5,-4,-5,-1,1,0,0,0,-0,-1,0,1,-1,-1,-1,-2,-4,-3,-5,-18,-25,-30,-33,-36,-31,-34,-41,-43,-43,-44,-44,-33,-39,-43,-43,-43,-43,-44,-31,-30
ES,Grocery & pharmacy,3,1,0,1,1,2,2,10,3,-1,4,8,-7,4,6,1,3,4,2,2,1,7,4,18,17,27,33,-8,-49,-33,-39,-36,-58,-39,-53,-73,-46,-50,-51,-52,-49,-57,-76,-55,-55,-53,-52,-48,-56,-77
ES,Parks,13,9,5,11,15,20,44,33,36,17,11,16,33,19,6,-7,-3,9,2,0,17,19,12,12,17,1,-22,-44,-76,-72,-73,-73,-77,-79,-87,-89,-77,-79,-78,-78,-80,-86,-89,-80,-82,-81,-81,-82,-86,-90
ES,Residential,-2,-1,-0,-1,-1,-2,-2,-3,-0,1,-0,-2,0,-1,-2,1,-0,-0,-0,0,-1,-2,-1,-0,1,3,8,14,17,23,25,26,31,32,26,22,28,29,30,30,33,26,22,31,32,33,33,36,26,23
ES,Retail & recreation,2,-0,-2,-0,1,1,2,7,5,-2,-0,4,-1,-1,2,-3,-3,-0,-1,-2,-1,4,-1,-3,-5,-13,-33,-69,-87,-80,-83,-84,-88,-87,-92,-94,-85,-87,-87,-87,-88,-92,-94,-89,-92,-92,-92,-89,-92,-94
ES,Transit stations,5,3,4,2,5,6,14,11,4,3,1,6,2,6,5,-3,1,2,0,-0,4,8,0,-1,-9,-16,-32,-52,-71,-71,-74,-76,-80,-80,-84,-87,-81,-81,-82,-82,-83,-86,-88,-84,-84,-84,-84,-84,-86,-89
ES,Workplaces,-1,3,3,3,3,2,2,1,-7,-6,-0,1,-11,-1,1,-3,3,3,2,-1,1,1,3,2,-2,-5,-17,-31,-48,-52,-59,-60,-71,-66,-63,-65,-65,-67,-67,-68,-68,-64,-64,-74,-76,-75,-75,-74,-65,-68
FR,Grocery & pharmacy,2,2,2,-3,-1,-2,-2,7,3,1,-2,-1,1,1,4,3,5,2,-0,2,1,2,2,1,2,5,17,1,23,46,-15,-45,-41,-42,-54,-64,-41,-45,-48,-46,-46,-56,-72,-47,-38,-39,-36,-38,-45,-62
FR,Parks,9,16,36,18,29,28,31,30,45,23,9,1,15,-12,-13,-9,8,1,-15,-1,7,-1,2,1,17,5,4,-1,15,-15,-40,-53,-56,-66,-78,-80,-64,-65,-67,-67,-68,-76,-82,-66,-61,-62,-62,-66,-73,-73
FR,Residential,-1,4,3,2,3,3,-1,-1,3,4,3,4,4,1,-0,3,2,2,3,3,1,1,2,2,1,1,3,5,3,13,24,29,32,36,24,18,32,34,32,34,37,25,18,33,33,31,33,37,24,17
FR,Retail & recreation,6,1,5,-4,-2,-1,-6,8,3,1,-5,-5,-1,-7,1,-6,-1,-6,-8,-2,-4,0,-5,-5,-6,-8,-8,-21,-38,-43,-68,-83,-82,-83,-88,-86,-81,-83,-84,-84,-84,-87,-88,-84,-90,-90,-90,-86,-88,-85
FR,Transit stations,7,-6,-4,-6,-4,0,14,12,-1,-3,-5,-5,-0,4,2,-4,-4,-6,-6,-1,1,-2,-5,-6,-5,-7,-8,-16,-21,-39,-61,-76,-78,-80,-82,-84,-82,-82,-83,-83,-84,-83,-87,-83,-82,-81,-82,-82,-80,-82
FR,Workplaces,-1,-15,-14,-12,-15,-15,-5,-1,-15,-14,-12,-15,-15,-5,1,-5,-4,-3,-5,-4,-0,-1,-1,-1,-0,-1,-2,-5,-9,-36,-55,-67,-71,-71,-58,-55,-73,-74,-73,-74,-73,-59,-56,-74,-74,-71,-73,-72,-57,-53
GB,Grocery & pharmacy,-6,1,-1,-2,-2,-1,-2,-2,-1,4,-0,1,1,1,2,4,3,3,2,6,2,2,4,5,5,11,11,7,7,20,21,22,24,10,1,-14,-8,-24,-26,-28,-29,-39,-46,-32,-30,-32,-32,-30,-36,-41
GB,Parks,-28,24,20,8,4,10,-7,-5,-9,3,6,8,-13,-14,14,14,11,2,1,22,7,15,4,4,10,5,12,1,-1,29,6,-3,2,6,2,20,1,-14,-12,-11,-26,-54,-52,-33,-21,-29,-24,-25,-38,-29
GB,Residential,1,2,2,3,3,3,1,-0,1,0,0,0,1,0,-1,0,0,1,1,0,0,-1,1,1,1,2,2,2,2,4,7,10,11,13,11,9,17,24,26,27,28,20,15,27,27,28,29,29,19,15
GB,Retail & recreation,-7,10,7,6,5,5,-4,-1,-3,-1,1,2,1,1,7,4,2,2,-1,5,-0,4,0,-2,-0,-1,-2,-10,-11,-3,-15,-21,-21,-28,-50,-56,-45,-71,-73,-74,-76,-83,-85,-74,-74,-75,-75,-76,-81,-82
GB,Transit stations,-7,-2,-3,-4,-5,-3,-2,3,-2,1,-1,0,0,-2,5,-0,-1,-2,-3,1,-1,2,-3,-4,-6,-8,-9,-15,-16,-16,-27,-34,-37,-40,-46,-46,-53,-64,-68,-70,-71,-74,-75,-73,-72,-73,-73,-72,-72,-70
GB,Workplaces,-3,-14,-14,-14,-14,-15,-2,-1,-2,1,1,0,-1,0,1,1,1,1,0,1,1,1,0,-0,-0,-1,-4,-2,-4,-9,-16,-23,-27,-29,-25,-30,-45,-58,-64,-66,-66,-57,-55,-69,-70,-69,-70,-69,-57,-54
ID,Grocery & pharmacy,-3,-4,-2,-4,-1,-3,-0,-1,-3,-2,-1,2,3,6,5,12,10,4,8,4,6,4,3,6,5,3,3,3,3,2,1,0,-5,-7,-5,-15,-12,-11,-20,-17,-17,-20,-27,-20,-16,-10,-13,-17,-20,-24
ID,Parks,-7,-7,-4,-3,-1,-5,-5,-5,-4,-6,-3,-3,-5,-7,-8,-0,-2,-5,-1,-3,-4,-4,-1,2,2,0,-2,-6,-12,-8,-10,-12,-17,-21,-30,-39,-25,-26,-31,-30,-34,-46,-52,-32,-32,-28,-29,-34,-45,-50
ID,Residential,2,1,1,1,1,1,0,1,1,3,0,0,1,-0,1,-0,0,1,0,1,0,1,1,1,1,1,1,1,3,5,6,8,9,10,9,10,13,13,21,15,16,15,15,16,15,15,16,17,15,14
ID,Retail & recreation,-3,-3,-3,-3,-2,-2,-0,-2,-2,-5,-2,0,1,2,1,5,3,0,4,2,3,1,2,3,3,2,2,-2,-7,-7,-9,-11,-16,-19,-23,-32,-27,-29,-38,-34,-36,-42,-47,-36,-35,-31,-33,-35,-40,-43
ID,Transit stations,-4,-1,1,-0,4,2,1,-4,-1,-6,0,2,3,4,0,3,2,-1,3,3,3,-1,1,1,1,1,1,-5,-12,-12,-16,-21,-26,-31,-33,-42,-41,-42,-52,-46,-49,-50,-54,-51,-49,-49,-50,-53,-54,-58
ID,Workplaces,2,3,2,1,1,5,5,3,4,-2,3,4,5,6,3,5,5,4,4,6,6,4,5,4,4,4,6,5,4,-8,-13,-16,-17,-18,-11,-7,-27,-31,-59,-34,-33,-23,-15,-34,-35,-35,-35,-34,-25,-17
