Country,location,category,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
MX,Campeche,Transit stations,0,5.19,1.734,-5.521,-4.573,-2.446,-4.232,-8.049,-10.38,-4.913,-3.681,-7.927,-3.669,9.524,13.313,-7.958,-0.578,2.147,-11.89,-6.116,-15.608,-24.458,-35.64,-35.26,-35.276,-41.158,-43.731,-47.619,-46.439,-50.519,-49.133,-46.625,-45.731,-48.012,-51.058,-49.845,-55.017,-52.312,-53.068,-47.866,-54.128,-66.666,-62.229
MX,Campeche,Workplace,4.454,-0.541,17.037,11.877,10.045,10.624,15.101,4.871,0.983,-12.629,10.528,9.325,9.33,9.622,2.507,-1.955,-51.382,4.128,-5.491,-8.485,-9.818,-7.298,-12.728,-29.581,-37.005,-40.201,-41.413,-36.604,-20.302,-23.174,-39.89,-45.293,-48.651,-49.33,-45.817,-27.882,-28.397,-48.774,-52.888,-54.298,-62.768,-68.138,-42.138
MX,Chiapas,Grocery & pharmacy,5.117,7.492,2.411,-1.248,-0.066,-1.205,-2.914,-2.721,-2.529,-4.78,-2.067,-3.663,-1.359,4.865,7.899,5.289,6.52,5.467,4.76,6.355,0.739,-6.437,-15.194,-12.788,-15.841,-16.385,-18.255,-19.459,-16.548,-21.55,-15.136,-16.186,-14.104,-16.108,-14.902,-15.33,-22.199,-16.226,-17.477,-16.385,-19.833,-36.597,-32.832
MX,Chiapas,Parks,2.142,-3.965,-1.163,-7.237,-6.832,-6.642,-8.279,-1.986,-4.683,-7.709,-4.411,-5.23,-2.615,1.993,5.062,-1.549,-8.183,-4.668,-6.369,-8.178,-12.687,-18.575,-28.437,-22.308,-27.323,-29.439,-31.133,-32.695,-31.542,-40.937,-29.587,-35.632,-35.386,-38.19,-39.287,-39.174,-46.79,-39.449,-40.857,-42.218,-46.99,-57.455,-53.076
MX,Chiapas,Residential,0.054,0.28,-2.595,-1.816,-1.608,-1.245,-1.396,0.881,1.341,3.239,-2.048,-1.467,-1.769,-2.794,-1.399,-0.429,6.568,-2.431,0.561,2.048,3.624,5.639,6.724,9.159,10.214,11.569,12.919,13.115,9.857,10.766,12.245,12.898,13.82,16.019,16.439,13.1,12.566,15.668,15.32,15.566,18.569,23.446,17.227
MX,Chiapas,Retail & recreation,1.782,0.05,-3.243,-5.473,-5.39,-4.222,-7.117,-3.199,-4.067,-9.605,-6.857,-7.46,-3.518,1.796,3.131,-0.281,-5.686,-5.473,-8.139,-10.387,-17.281,-24.997,-34.039,-28.016,-31.033,-33.575,-34.527,-37.815,-37.886,-46.107,-32.104,-34.982,-36.757,-45.786,-54.157,-56.404,-62.853,-52.713,-51.617,-52.711,-59.813,-72.84,-68.97
MX,Chiapas,Transit stations,-2.076,-0.855,0.158,-9.483,-8.067,-7.096,-4.617,-7.667,-8.39,-6.582,-8.318,-7.899,-2.741,3.753,1.438,-13.526,6.271,0.334,-5.882,-6.773,-12.265,-19.807,-28.767,-27.585,-31.446,-34.117,-39.354,-44.299,-39.936,-49.485,-39.811,-43.427,-42.184,-46.773,-45.454,-44.728,-51.369,-46.707,-47.919,-46.218,-54.032,-66.233,-61.341
MX,Chiapas,Workplace,5.106,4.044,14.095,12.31,12.992,14.205,14.211,3.936,2.642,-6.867,14.316,13.728,14.577,10.335,3.564,1.569,-42.952,12.198,6.801,3.014,-2.914,-2.656,-6.266,-24.425,-28.271,-30.297,-30.832,-29.443,-13.289,-16.328,-35.212,-38.044,-40.12,-41.423,-38.849,-21.981,-23.462,-44.726,-46.596,-48.198,-58.492,-67.114,-47.446
MX,Chihuahua,Grocery & pharmacy,7.746,4.511,2.985,-2.586,2.374,3.497,2.968,2.401,-1.619,-6.116,2.962,3.111,5.597,11.159,10.683,5.373,7.164,9.983,3.879,4.781,5.731,-2.617,-10.978,-11.399,-5.595,-11.824,-13.338,-15.356,-14.092,-23.785,-17.952,-13.909,-11.984,-8.567,-6.051,-12.795,-22.017,-15.987,-15.015,-7.317,-10.883,-22.067,-28.278
MX,Chihuahua,Parks,7.565,5.225,4.533,-8.475,-3.338,12.114,8.197,8.346,-1.663,1.225,13.921,9.798,9.609,3.134,10.584,11.937,10.136,-2.646,-19.346,-9.102,-12.054,-24.656,-29.25,-25.989,-27.147,-35.661,-35.483,-42.386,-42.986,-49.737,-36.181,-33.192,-37.303,-35.841,-35.845,-44.017,-49.667,-38.957,-37.833,-39.407,-40.697,-52.466,-56.486
MX,Chihuahua,Residential,-1.317,-0.331,-2.298,-0.541,-1.457,-2.554,-2.467,-1.499,0.389,4.578,-3.076,-2.986,-2.988,-1.569,-2.529,-1.545,12.466,-0.806,3.002,3.831,5.678,6.663,7.145,9.907,11.352,13.354,14.828,17.426,13.05,12.713,15.08,15.57,16.38,17.876,19.942,14.938,12.986,19.135,19.716,19.422,23.619,30.842,20.404
MX,Chihuahua,Retail & recreation,5.643,7.172,2.827,-3.909,-0.218,3.544,0.841,1.222,2.047,-6.259,3.65,2.1,2.621,4.017,3.397,2.201,-2.794,-3.178,-14.246,-13.725,-17.868,-27.616,-34.144,-25.88,-31.436,-39.405,-41.586,-46.424,-47.502,-54.332,-39.141,-38.287,-41.405,-47.562,-56.29,-59.37,-64.408,-54.019,-52.035,-50.719,-58.097,-72.877,-67.661
MX,Chihuahua,Transit stations,5.294,3.158,5.183,5.102,6.8,9.693,7.055,5.294,-0.63,0.221,10.321,7.269,12.087,14.316,7.997,-3.787,-1.432,0.12,-10.667,-13.682,-20.02,-25.112,-35.1,-35.28,-35.231,-43.258,-47.434,-50.103,-47.635,-54.924,-48.621,-47.093,-49.237,-51.995,-51.866,-51.688,-59.343,-56.56,-54.685,-54.513,-58.38,-69.397,-65.99
MX,Chihuahua,Workplace,5.61,3.85,12.507,9.398,11.326,10.9,11.786,6.399,1.414,-11.786,11.374,12.636,10.114,5.05,4.238,1.657,-56.024,5.804,0.663,-3.848,-7.054,-5.774,-9.207,-22.65,-26.543,-30.171,-33.661,-33.239,-22.378,-25.456,-36.679,-38.871,-40.127,-43.292,-41.982,-29.261,-29.573,-47.694,-49.843,-50.606,-62.653,-74.696,-50.034
MX,Coahuila,Grocery & pharmacy,13.44,9.695,6.756,0.517,3.213,2.613,2.202,3.197,2.243,-6.732,0.801,2.618,5.739,10.386,12.573,6.692,5.297,3.511,8.582,1.883,-3.478,-7.208,-16.35,-16.554,-19.786,-20.418,-19.777,-14.883,-14.34,-24.966,-18.247,-17.79,-11.73,-12.399,-10.586,-14.308,-26.094,-18.517,-20.291,-12.947,-15.716,-25.551,-26.989
MX,Coahuila,Parks,13.084,29.6,10.433,0.675,3.07,4.546,8.078,9.444,18.017,-6.314,10.398,10.573,14.87,17.716,17.61,11.964,2.128,-1.823,-3.888,-15.585,-23.844,-39.498,-50.095,-36.582,-40.783,-40.519,-40.195,-38.663,-43.089,-56.673,-40.357,-41.188,-40.86,-43.377,-43.956,-50.172,-61.487,-45.093,-47.738,-46.863,-52.987,-61.95,-61.535
MX,Coahuila,Residential,-1.747,-1.473,-2.289,-1.285,-0.898,-1.282,-1.846,-1.018,-0.806,6.056,-2.032,-1.538,-2.346,-2.204,-2.707,-2.177,12.616,0.307,2.562,7.28,10.357,9.696,9.049,12.441,14.378,15.95,16.044,16.824,12.158,11.663,15.689,16.911,18.41,19.52,21.265,15.935,13.448,20.03,21.005,21.448,24.467,29.52,19.81
MX,Coahuila,Retail & recreation,11.352,12.933,4.394,-0.439,1.857,1.48,-0.058,3.817,5.391,-8.558,-0.163,2.135,3.655,6.693,7.651,2.589,-6.716,-6.561,-8.303,-17.522,-26.455,-33.822,-44.833,-33.592,-38.49,-39.567,-39.739,-39.583,-40.836,-50.827,-35.946,-36.275,-36.503,-46.099,-55.125,-57.729,-65.989,-53.416,-54.327,-51.233,-60.163,-71.555,-68.677
MX,Coahuila,Transit stations,9.916,8.091,2.915,1.92,1.163,-1.791,2.703,3.19,-2.165,-3.42,4.602,2.707,4.134,11.115,15.757,-7.688,0.518,5.368,1.742,-8.793,-20.631,-22.474,-37.077,-33.9,-34.095,-36.869,-42.904,-40.948,-37.164,-44.572,-38.181,-32.372,-34.552,-40.57,-41.424,-37.872,-50.094,-46.742,-40.8,-41.888,-52.599,-62.694,-57.872
