Country,location,category,codes,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,headline_percent
UK,Isle of Wight,transit,GB,-15,15,12,14,7,22,11,18,6,4,5,7,2,-5,14,12,7,-0,-2,15,6,9,10,7,3,6,7,-0,2,11,-7,-17,-17,-24,-36,-34,-33,-53,-60,-63,-67,-70,-76,-76
UK,Isle of Wight,workplace,GB,-2,-15,-15,-15,-16,-16,0,3,1,2,3,1,0,0,5,3,3,2,-1,1,2,3,2,2,2,0,-1,1,-3,-3,-5,-11,-16,-18,-22,-26,-36,-50,-57,-61,-61,-56,-54,-54
UK,Isle of Wight,residential,GB,NA,2,2,2,3,2,1,NA,1,0,-0,0,1,1,NA,-0,-0,1,2,-0,0,NA,0,1,1,1,1,2,NA,1,4,6,7,9,NA,NA,12,18,20,21,22,NA,NA,22
UK,Kent,retail_recr,GB,-16,10,11,10,7,6,-3,-5,-2,2,1,-0,-0,-1,7,3,4,1,-7,4,0,3,2,1,1,2,-1,-8,-10,-0,-8,-13,-14,-25,-45,-55,-41,-67,-70,-71,-73,-82,-86,-86
UK,Kent,grocery_pharm,GB,-13,-0,-2,-2,-4,-1,-3,-5,-2,4,-1,-1,0,-1,1,3,2,3,-3,6,1,1,5,4,5,12,11,8,8,22,26,28,28,12,5,-13,-5,-22,-23,-28,-29,-40,-49,-49
UK,Kent,parks,GB,-50,20,26,16,-3,26,-8,-19,-11,1,0,-8,-13,-26,20,8,13,0,-17,30,4,7,16,7,22,14,18,-9,3,34,21,15,2,3,5,12,10,-3,-2,-8,-17,-53,-62,-62
UK,Kent,transit,GB,-11,1,-1,-3,-3,-0,4,6,-1,-1,-2,-1,-2,-4,5,1,-1,-2,-3,4,2,1,1,-5,-2,-4,-6,-13,-11,-9,-18,-26,-30,-32,-35,-36,-41,-54,-56,-59,-62,-65,-68,-68
UK,Kent,workplace,GB,-7,-19,-18,-18,-19,-19,-2,-2,-2,1,0,-1,-1,-0,1,1,1,-0,-1,-0,1,0,0,-0,-1,-2,-4,-2,-4,-7,-13,-20,-24,-26,-23,-29,-43,-56,-62,-64,-64,-54,-53,-53
UK,Kent,residential,GB,2,3,2,3,3,3,0,-0,2,0,0,1,1,1,-1,1,0,1,2,0,0,-0,1,1,1,2,2,2,2,4,6,9,11,12,10,8,17,23,25,26,27,19,15,15
UK,Kingston upon Hull,retail_recr,GB,3,7,10,9,6,10,-3,-1,-5,-2,2,7,1,5,8,3,4,6,2,1,-1,2,-0,0,1,5,-1,-6,-2,0,-5,-13,-12,-19,-41,-50,-37,-65,-68,-69,-71,-81,-82,-82
UK,Kingston upon Hull,grocery_pharm,GB,-5,-0,-1,-3,-1,-1,-0,1,-3,3,-1,5,2,5,6,4,3,4,6,5,2,6,1,7,5,11,11,8,11,21,25,25,30,14,7,-11,-8,-22,-24,-27,-27,-38,-45,-45
UK,Kingston upon Hull,parks,GB,-26,-7,6,-5,-22,-11,-4,-15,-16,6,5,-4,-15,-20,12,0,2,10,0,21,19,9,0,8,4,0,1,-11,7,3,14,-20,-8,-2,-18,7,-23,-15,-27,-28,-35,-64,-49,-49
UK,Kingston upon Hull,transit,GB,9,-2,-1,-8,-3,-0,4,3,-1,0,2,2,3,11,12,3,-3,-2,-3,4,4,9,-1,0,-2,-1,-1,-8,1,-5,-16,-24,-26,-26,-37,-30,-44,-56,-60,-63,-64,-70,-71,-71
UK,Kingston upon Hull,workplace,GB,-4,-10,-10,-11,-11,-11,2,-2,1,3,2,3,3,4,1,3,5,2,3,3,5,-0,2,3,2,2,1,2,-2,-1,-6,-11,-14,-17,-17,-23,-31,-46,-54,-57,-58,-50,-51,-51
UK,Kingston upon Hull,residential,GB,1,2,2,2,3,2,1,-0,1,0,0,-0,0,0,-1,0,0,0,-0,-0,-1,-1,1,1,0,0,1,1,1,1,3,6,6,8,8,6,12,19,22,22,24,18,14,14.000000000000002
UK,Lancashire,retail_recr,GB,1,8,8,1,3,-3,-3,-0,-5,-0,-0,3,0,1,8,4,4,4,6,7,2,10,-2,0,0,1,3,-6,1,0,-6,-14,-10,-17,-43,-49,-39,-68,-71,-72,-74,-83,-84,-84
UK,Lancashire,grocery_pharm,GB,-3,-1,-1,-4,-2,-4,-2,-2,-1,6,-1,1,2,0,2,3,4,6,5,5,1,3,1,4,3,10,12,7,10,19,24,23,24,12,8,-9,-5,-22,-24,-26,-27,-37,-44,-44
UK,Lancashire,parks,GB,2,31,29,2,14,-2,0,6,-5,13,8,17,-8,3,15,14,22,22,38,47,27,54,5,15,11,19,43,20,33,37,29,5,47,48,33,69,24,12,11,20,-4,-43,-39,-39
UK,Lancashire,transit,GB,-3,-4,-4,-10,-9,-8,-3,3,-4,-1,-4,-2,-1,-0,4,-0,-2,-1,-2,4,3,8,-3,-3,-5,-7,-2,-8,-2,-9,-17,-24,-25,-27,-35,-27,-43,-55,-59,-62,-65,-71,-71,-71
UK,Lancashire,workplace,GB,-0,-17,-16,-17,-18,-19,-1,0,-2,0,0,0,-1,1,2,1,1,1,1,1,1,2,0,0,0,-0,-3,-0,-1,-4,-8,-15,-19,-21,-20,-25,-37,-51,-58,-60,-61,-53,-52,-52
UK,Lancashire,residential,GB,0,3,3,3,4,4,1,-0,2,1,1,1,1,0,-1,0,0,0,0,-0,-0,-1,1,1,1,1,1,2,1,2,5,8,9,9,9,7,14,21,24,25,25,18,14,14.000000000000002
UK,Leicester,retail_recr,GB,-6,7,7,1,3,2,1,-1,-5,-3,-4,0,-4,2,3,2,-1,12,-1,2,-5,4,14,-2,-2,-2,-5,-17,-17,-5,-16,-25,-19,-30,-54,-54,-46,-68,-72,-73,-75,-85,-84,-84
UK,Leicester,grocery_pharm,GB,-5,1,-4,-5,-3,-3,-3,-4,-4,-0,-3,-0,-5,2,3,4,1,2,1,5,6,11,5,10,6,15,18,15,8,24,22,27,38,15,-1,-14,-7,-21,-26,-28,-30,-41,-47,-47
UK,Leicester,parks,GB,-22,11,5,-7,-12,7,1,2,-12,1,1,4,-22,-6,10,6,-7,-7,-6,16,3,16,30,-1,0,-2,0,-2,-24,14,-7,-33,-15,-15,-21,23,-1,-17,-13,-16,-28,-56,-45,-45
UK,Leicester,transit,GB,-8,-7,-8,-10,-11,-3,-4,-5,-3,-3,-2,-4,0,-3,-2,-1,-4,-0,-5,-1,-7,-6,-4,-7,-9,-9,-11,-18,-20,-17,-25,-36,-37,-41,-51,-51,-54,-67,-72,-74,-75,-78,-80,-80
UK,Leicester,workplace,GB,-2,-13,-12,-13,-14,-15,-1,-0,-2,-0,-0,-2,-2,1,3,0,1,1,0,1,4,5,0,-0,-1,-1,-3,1,-1,-7,-11,-18,-21,-25,-21,-26,-41,-53,-59,-61,-63,-54,-51,-51
UK,Leicester,residential,GB,1,2,2,3,3,3,0,-0,1,0,1,1,1,0,-1,0,0,0,1,0,0,-0,1,1,1,1,2,2,2,3,5,8,8,10,10,8,15,20,23,24,26,19,15,15
UK,Leicestershire,retail_recr,GB,-8,11,10,7,5,7,-4,3,-3,2,2,5,1,4,11,6,3,3,3,8,3,10,0,2,3,4,3,-2,-5,3,-6,-15,-13,-20,-42,-49,-37,-68,-70,-71,-74,-82,-83,-83
UK,Leicestershire,grocery_pharm,GB,-7,-0,-1,-3,-2,2,-1,-0,0,7,0,2,2,4,4,3,4,5,4,5,4,5,3,7,7,13,14,11,9,25,29,29,35,17,7,-11,-3,-20,-21,-25,-27,-38,-45,-45
UK,Leicestershire,parks,GB,-44,16,17,-1,-8,6,-12,-16,-9,-1,-6,1,-20,-9,-2,7,-1,-9,-3,12,12,17,-7,4,5,-0,5,-1,-28,21,1,-25,-3,-0,-3,15,4,-11,-8,-3,-19,-55,-54,-54
UK,Leicestershire,transit,GB,3,4,0,-2,-2,3,0,7,1,-0,2,-1,-1,-2,6,1,-2,0,-0,5,5,7,-1,-3,-4,-3,-3,-10,-15,-11,-20,-26,-24,-30,-35,-36,-41,-50,-56,-58,-63,-70,-72,-72
UK,Leicestershire,workplace,GB,-3,-17,-15,-17,-18,-18,-2,-1,-1,1,0,-0,-1,-0,2,1,1,1,1,1,2,2,1,0,0,-0,-2,-3,-4,-5,-10,-17,-21,-23,-24,-27,-41,-55,-62,-64,-64,-57,-55,-55.00000000000001
UK,Leicestershire,residential,GB,1,2,2,3,3,3,0,-0,1,1,1,0,1,-0,-1,-0,0,0,0,-0,-0,-1,0,1,1,1,2,1,2,3,6,10,10,11,10,8,16,24,26,27,28,19,15,15
UK,Lincolnshire,retail_recr,GB,-9,11,11,8,5,10,-1,0,-3,3,2,2,2,0,9,5,5,6,2,11,8,14,4,5,5,3,9,2,1,6,-2,-14,-12,-15,-40,-49,-35,-67,-70,-71,-72,-82,-84,-84
UK,Lincolnshire,grocery_pharm,GB,-7,0,-1,-2,-0,-1,-1,-3,-1,5,-2,1,-1,2,2,3,1,4,4,6,5,5,4,6,4,11,12,11,11,24,25,23,27,13,9,-7,-3,-21,-25,-27,-27,-38,-45,-45
UK,Lincolnshire,parks,GB,-26,30,31,22,11,20,3,-2,-6,3,9,6,-11,-4,27,17,14,22,16,45,46,55,19,22,29,28,63,62,29,41,29,5,32,37,29,19,7,-16,-20,-17,-34,-57,-63,-63
UK,Lincolnshire,transit,GB,-4,-1,-3,-6,-4,-0,8,13,-6,2,2,1,2,-5,6,6,2,3,2,6,11,10,2,-0,1,-1,3,-4,2,-3,-12,-24,-20,-23,-29,-20,-38,-54,-57,-58,-62,-68,-67,-67
UK,Lincolnshire,workplace,GB,-4,-17,-17,-16,-18,-17,-1,-1,-1,1,0,-0,-1,1,3,1,1,1,1,1,3,2,0,1,0,1,-1,4,-0,-3,-7,-13,-17,-19,-17,-21,-34,-48,-55,-57,-57,-49,-47,-47
UK,Lincolnshire,residential,GB,1,3,3,3,3,3,0,-0,2,1,1,1,1,1,-0,0,0,0,1,0,-0,-1,1,1,1,1,1,1,1,2,4,7,7,9,8,7,13,18,21,21,23,17,13,13
UK,Lisburn and Castlereagh,retail_recr,GB,-0,15,17,5,8,7,-6,-4,2,-1,6,7,4,-3,4,3,7,5,2,2,-3,0,-1,1,-1,-0,-3,-18,-15,1,-12,-18,-21,-27,-47,-54,-36,-69,-74,-75,-77,-82,-87,-87
UK,Lisburn and Castlereagh,grocery_pharm,GB,-11,-7,-5,-7,-5,-7,-5,-9,-0,4,-2,0,1,-3,-4,-1,2,0,1,2,-1,-4,3,7,6,29,17,6,-4,21,5,9,9,3,5,-18,-10,-20,-26,-28,-29,-30,-45,-45
UK,Lisburn and Castlereagh,parks,GB,NA,NA,NA,NA,NA,NA,-57,-34,NA,NA,NA,NA,NA,-52,-43,NA,NA,NA,NA,NA,-41,-38,NA,NA,NA,NA,NA,-37,-15,NA,NA,NA,NA,NA,-43,-30,NA,NA,NA,NA,NA,-76,-79,-79
UK,Lisburn and Castlereagh,transit,GB,-5,-13,-11,-10,-11,-9,-8,2,-8,-1,2,5,-1,-4,4,-1,5,6,5,2,-2,4,-11,-5,-5,-5,-11,-32,-14,-23,-53,-35,-38,-34,-46,-38,-50,-60,-64,-65,-67,-67,-61,-61
UK,Lisburn and Castlereagh,workplace,GB,-5,-17,-16,-14,-15,-16,-1,-3,-2,1,1,0,-1,1,-3,2,1,-0,0,0,3,-1,-0,-0,-2,-3,-5,-3,-6,-18,-54,-22,-26,-29,-22,-33,-44,-58,-65,-68,-68,-59,-56,-56.00000000000001
UK,Lisburn and Castlereagh,residential,GB,NA,2,3,3,3,2,1,NA,1,1,0,0,-0,1,NA,-0,-0,-0,0,-0,0,NA,1,1,1,2,3,NA,NA,7,19,11,14,14,NA,NA,18,26,28,30,30,NA,NA,30
UK,Luton,retail_recr,GB,-4,9,9,2,2,3,-3,-1,-3,2,-2,-4,1,7,5,4,3,-0,-4,4,-3,2,-1,-1,-1,-3,-2,-8,-11,-4,-9,-16,-14,-23,-41,-50,-43,-65,-69,-69,-71,-77,-79,-79
UK,Luton,grocery_pharm,GB,-7,-0,-2,-6,-7,-5,-1,-3,-1,3,-2,1,1,7,2,5,4,5,-2,6,3,5,4,8,9,13,13,18,13,27,29,33,40,16,9,-6,-4,-13,-20,-22,-22,-30,-39,-39
UK,Luton,parks,GB,NA,NA,NA,NA,NA,NA,-4,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48,-41,-41
UK,Luton,transit,GB,-5,7,7,4,4,-5,-5,-2,5,9,8,6,1,2,2,5,1,0,-1,-3,-6,-5,-4,-4,-9,-16,-25,-30,-40,-36,-42,-52,-58,-64,-73,-79,-74,-76,-81,-83,-86,-87,-90,-90
UK,Luton,workplace,GB,-4,-15,-14,-15,-17,-16,-2,-2,-1,2,1,-1,1,4,2,2,3,3,2,3,3,3,3,3,3,2,-0,-0,0,-5,-9,-15,-22,-26,-19,-23,-42,-53,-59,-61,-61,-51,-49,-49
UK,Luton,residential,GB,1,2,2,3,3,3,-0,-0,1,0,1,1,1,0,-0,-0,0,0,1,0,0,0,1,1,0,1,2,2,3,3,6,8,10,12,10,9,17,22,25,26,27,19,NA,19
UK,Medway,retail_recr,GB,-16,11,14,13,9,8,-2,-2,-1,5,4,0,3,3,12,4,7,2,-9,4,-0,4,0,4,3,-0,-3,-7,-8,-3,-8,-15,-15,-24,-43,-52,-39,-68,-70,-72,-74,-81,-85,-85
UK,Medway,grocery_pharm,GB,-8,6,2,1,-0,7,5,3,6,11,6,7,9,7,11,11,8,7,1,16,8,7,13,11,11,17,20,15,11,32,31,39,42,24,16,-3,3,-13,-18,-21,-19,-32,-40,-40
UK,Medway,parks,GB,-61,17,26,12,-14,43,12,-4,-10,11,12,-12,-3,-19,31,10,16,8,-33,35,12,7,13,3,20,12,34,-4,-3,36,16,13,-15,5,-7,-13,14,-4,-7,-19,-9,-50,-67,-67
UK,Medway,transit,GB,-24,1,0,-2,-2,-2,8,3,0,1,-0,-1,2,6,16,2,-0,-1,-6,7,6,-1,-1,-4,-1,-5,-8,-12,-11,-12,-22,-29,-34,-34,-35,-37,-44,-60,-63,-65,-66,-67,-71,-71
UK,Medway,workplace,GB,-7,-16,-16,-16,-17,-17,-3,-1,0,1,2,1,1,0,2,2,1,2,1,2,1,3,1,0,1,-0,-1,-2,-1,-6,-11,-18,-21,-23,-19,-26,-41,-53,-58,-61,-61,-52,-51,-51
UK,Medway,residential,GB,2,3,3,2,4,3,0,0,1,0,0,1,0,0,-1,0,0,0,2,-0,-0,-0,1,1,1,1,2,2,2,3,6,9,10,12,10,8,16,23,25,26,27,19,15,15
UK,Merseyside,retail_recr,GB,-3,8,10,3,4,5,-1,-3,10,2,0,1,4,7,13,4,3,5,4,10,6,4,-3,2,15,1,2,-7,-6,-1,-8,-17,-17,-23,-48,-56,-44,-68,-71,-72,-72,-81,-83,-83
UK,Merseyside,grocery_pharm,GB,-3,-1,-1,-4,-2,-2,-1,-3,-1,6,0,2,2,1,3,3,4,5,6,6,2,4,2,8,5,12,13,10,11,21,23,25,28,13,7,-10,-7,-21,-24,-25,-25,-35,-42,-42
UK,Merseyside,parks,GB,-17,28,17,-6,-1,-5,-13,-10,0,1,-2,1,-6,2,22,16,-5,-6,10,23,-7,9,-16,-7,4,10,11,2,14,18,0,-21,1,4,-12,10,-19,-23,-11,-12,-20,-58,-53,-53
UK,Merseyside,transit,GB,-7,2,1,-4,-5,-1,2,-2,3,6,-0,-0,3,13,12,3,0,0,0,7,11,5,-2,0,4,-2,-3,-7,-13,-12,-22,-31,-34,-38,-48,-51,-52,-62,-67,-69,-69,-73,-74,-74
UK,Merseyside,workplace,GB,-1,-15,-15,-16,-17,-17,-2,-1,-1,1,0,-0,-1,1,1,0,0,1,0,2,0,1,1,-0,1,-1,-1,-1,-2,-6,-11,-18,-23,-25,-24,-28,-43,-56,-62,-64,-64,-56,-54,-54
UK,Merseyside,residential,GB,1,2,2,3,3,3,1,0,1,1,0,0,1,-0,-1,0,0,0,-0,-1,-0,-1,1,1,-0,1,1,2,1,3,5,8,9,10,10,8,16,22,24,25,26,19,15,15
UK,Merthyr Tydfil County Borough,retail_recr,GB,-32,7,11,8,9,9,-1,-2,-3,-5,1,1,-8,6,2,7,5,5,4,0,-1,-4,-0,1,-2,-3,-6,-7,-10,1,-12,-15,-15,-24,-41,-54,-38,-76,-79,-78,-80,-86,-89,-89
UK,Merthyr Tydfil County Borough,grocery_pharm,GB,-16,3,-1,-1,-3,2,-2,1,-0,6,-2,1,1,7,5,5,3,4,5,5,-0,2,2,4,6,12,9,4,2,15,12,19,24,8,2,-19,-15,-33,-34,-38,-35,-47,-50,-50
UK,Merthyr Tydfil County Borough,parks,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK,Merthyr Tydfil County Borough,transit,GB,NA,-15,-7,-7,-16,-3,-5,NA,-4,9,1,6,-1,-5,NA,13,12,4,11,12,-2,NA,3,4,3,1,3,-5,NA,1,-15,-19,-26,-19,-20,NA,-35,-49,-61,-54,-56,-64,-54,-54
UK,Merthyr Tydfil County Borough,workplace,GB,-11,-17,-14,-16,-17,-16,-2,-3,-2,3,-0,1,-2,3,-0,0,2,-1,-0,-0,-2,2,-2,-1,-0,-2,-4,-4,-0,-5,-8,-16,-19,-23,-25,-26,-36,-48,-55,-58,-57,-53,-52,-52
UK,Merthyr Tydfil County Borough,residential,GB,NA,3,3,4,4,NA,NA,NA,2,0,1,1,1,NA,NA,-0,-0,1,1,-0,NA,NA,1,1,1,2,1,NA,NA,2,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
UK,Mid and East Antrim,retail_recr,GB,-4,3,3,-2,-0,-3,-9,-3,-7,-4,-2,-2,0,-1,1,3,-1,2,2,1,-0,5,-2,0,-1,-3,-1,-8,-4,4,-8,-18,-17,-23,-42,-48,-40,-69,-74,-77,-77,-81,-81,-81
UK,Mid and East Antrim,grocery_pharm,GB,-5,-2,-1,-6,-3,-4,-2,-3,-2,2,-1,-2,2,-1,1,2,-1,3,1,5,-1,4,1,7,9,23,18,11,10,25,16,17,18,14,12,-4,0,-16,-20,-21,-22,-27,-37,-37
UK,Mid and East Antrim,parks,GB,NA,NA,NA,NA,NA,-19,-23,7,NA,NA,NA,NA,-17,-16,-15,NA,NA,NA,NA,15,4,27,NA,NA,NA,-24,17,-7,23,NA,NA,NA,NA,NA,5,40,NA,NA,NA,NA,-40,-39,-52,-52
UK,Mid and East Antrim,transit,GB,0,-7,-8,-13,-2,-1,-8,19,-0,6,-4,-0,4,-10,-7,3,-1,-0,3,-0,-3,6,-0,-0,-5,-6,-8,-26,-6,-21,-48,-32,-37,-34,-46,-20,-46,-59,-67,-66,-67,-69,-56,-56.00000000000001
UK,Mid and East Antrim,workplace,GB,3,-13,-13,-14,-11,-11,-2,2,-0,1,-1,-1,0,-2,2,2,1,-1,1,2,-0,1,1,0,-1,-0,-2,-1,-3,-13,-42,-16,-19,-23,-22,-30,-36,-51,-61,-63,-65,-58,-56,-56.00000000000001
UK,Mid and East Antrim,residential,GB,NA,3,3,4,3,2,2,NA,1,1,1,1,0,0,NA,0,-0,-0,-0,-1,0,NA,1,1,1,1,1,4,NA,5,14,8,10,10,NA,NA,15,22,26,27,27,NA,NA,27
UK,Mid Ulster,retail_recr,GB,-2,4,2,-2,0,-2,-7,6,-15,-3,-4,-1,-0,-5,4,0,4,3,2,-0,-4,7,-1,0,-1,3,-2,-13,-9,2,-28,-21,-19,-27,-41,-46,-34,-59,-66,-66,-70,-75,-81,-81
UK,Mid Ulster,grocery_pharm,GB,-7,-1,-2,-3,-3,-2,-2,-1,-2,8,1,-1,3,-0,-1,3,4,6,3,3,2,6,6,4,9,25,13,8,5,20,-5,2,6,1,7,-9,-6,-16,-22,-28,-28,-30,-43,-43
UK,Mid Ulster,parks,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK,Mid Ulster,transit,GB,NA,-9,-2,-9,-5,-13,-0,NA,-9,-2,-0,7,-0,-9,NA,3,9,3,12,-0,-3,NA,-5,-0,-2,-2,-9,-19,-16,-26,-42,-27,-25,-29,-37,-23,-38,-46,-53,-46,-57,-58,-51,-51
UK,Mid Ulster,workplace,GB,0,-13,-11,-10,-9,-10,-2,1,-15,1,1,1,2,1,0,2,3,2,2,3,0,2,3,3,2,0,1,-2,-5,-20,-58,-16,-18,-19,-22,-24,-29,-43,-53,-59,-60,-54,-42,-42
UK,Mid Ulster,residential,GB,NA,2,3,3,3,2,NA,NA,7,1,1,1,0,NA,NA,0,-0,-0,-0,-1,NA,NA,1,0,1,2,2,NA,NA,7,21,10,11,12,NA,NA,15,21,26,28,28,NA,NA,28.000000000000004
UK,Middlesbrough,retail_recr,GB,-2,-1,-1,0,0,-1,-8,-5,-7,-1,33,2,6,6,4,24,2,4,3,4,-2,1,-1,1,-1,1,3,-6,-4,-3,-10,-17,-16,-22,-41,-53,-43,-72,-73,-74,-75,-82,-84,-84
UK,Middlesbrough,grocery_pharm,GB,-2,-4,-7,-2,-2,0,-2,1,-1,8,-3,1,3,4,-2,4,1,3,3,7,2,4,0,5,2,-1,2,2,3,10,14,16,19,11,5,-17,-11,-29,-29,-32,-31,-39,-42,-43
UK,Middlesbrough,parks,GB,NA,NA,NA,NA,-27,-14,-29,-6,NA,NA,NA,NA,-28,4,-12,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,-14,-2,-2,NA,NA,NA,NA,NA,-4,4,NA,-44,-40,-42,-44,-63,-63,-63
UK,Middlesbrough,transit,GB,3,-4,-8,-9,-8,-6,-7,2,-10,-1,5,1,1,-1,8,5,-5,-2,1,4,4,9,-3,-4,-2,-1,-3,-10,-3,-5,-23,-26,-28,-30,-39,-34,-47,-63,-69,-69,-74,-76,-73,-73
UK,Middlesbrough,workplace,GB,2,-12,-12,-14,-13,-12,-1,2,-1,2,1,1,1,4,1,1,2,2,2,2,3,5,2,1,1,0,-0,0,-2,-3,-8,-14,-18,-19,-19,-22,-36,-50,-56,-59,-59,-55,-51,-51
UK,Middlesbrough,residential,GB,NA,2,2,2,3,3,1,NA,2,0,0,1,1,-0,NA,0,0,0,0,-0,-1,NA,1,0,0,1,1,1,NA,2,4,6,7,8,NA,NA,13,19,21,22,24,NA,NA,24
UK,Midlothian,retail_recr,GB,-3,8,4,3,4,-4,-9,-3,-8,1,1,5,1,4,-1,8,6,5,9,1,-1,-5,-1,0,1,-1,-6,-8,-14,-6,-12,-13,-7,-20,-42,-56,-46,-79,-81,-80,-82,-88,-90,-90
UK,Midlothian,grocery_pharm,GB,-2,-1,-0,3,-2,-3,-6,-0,-5,3,-1,1,2,1,1,6,3,9,4,5,3,2,3,3,7,10,13,12,10,20,23,26,24,10,3,-14,-7,-21,-22,-27,-32,-36,-43,-43
UK,Midlothian,parks,GB,NA,NA,NA,NA,NA,NA,-48,-9,NA,NA,NA,NA,NA,-11,-50,NA,NA,NA,NA,NA,-21,2,NA,NA,NA,NA,NA,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35,-20,-20
UK,Midlothian,transit,GB,-4,2,2,1,-2,-0,-16,1,-4,-2,2,1,2,5,-1,2,1,2,2,6,-1,3,-1,-6,-7,-8,-7,-9,-7,-12,-25,-20,-27,-22,-31,-6,-35,-53,-53,-62,-63,-61,-50,-50
UK,Midlothian,workplace,GB,-1,-1,-1,0,-1,0,-3,2,-1,0,1,-1,0,-0,1,0,0,0,1,1,-1,2,-1,-2,-0,-4,-4,-3,-1,-9,-16,-23,-29,-30,-24,-28,-46,-61,-67,-70,-70,-56,-53,-53
UK,Midlothian,residential,GB,NA,1,1,-0,1,1,NA,NA,2,0,-0,1,-0,NA,NA,-0,-0,-0,-0,-1,NA,NA,0,1,1,2,2,NA,NA,4,8,10,11,12,NA,NA,17,25,NA,NA,NA,NA,NA,25
UK,Milton Keynes,retail_recr,GB,-6,13,11,10,9,10,2,-5,1,2,5,2,4,8,8,7,3,3,3,5,3,1,3,1,1,3,-3,-9,-14,2,-8,-13,-14,-27,-49,-59,-41,-69,-71,-72,-74,-83,-85,-85
UK,Milton Keynes,grocery_pharm,GB,-4,1,-1,-3,-1,-4,-6,-6,-2,0,-1,-4,-2,-1,-0,2,-1,0,1,2,-3,-2,2,4,3,9,8,1,-2,18,22,25,29,10,-5,-19,-10,-26,-26,-27,-31,-43,-49,-49
UK,Milton Keynes,parks,GB,-29,40,21,14,15,22,3,-11,4,10,14,9,-7,-14,11,23,7,-1,4,32,4,13,11,4,14,15,8,2,-23,38,-4,-16,-11,-10,-3,27,18,-10,-3,8,-14,-56,-53,-53
UK,Milton Keynes,transit,GB,3,6,1,0,-1,1,10,24,-1,0,3,-1,4,2,18,0,-1,0,-3,2,-2,3,-5,-1,-12,-14,-11,-22,-15,-20,-31,-38,-42,-41,-49,-51,-56,-66,-70,-72,-73,-78,-79,-79
UK,Milton Keynes,workplace,GB,-3,-14,-14,-14,-15,-15,-1,-1,0,1,1,-0,-0,2,1,1,1,1,0,0,2,1,-0,-0,-0,-2,-4,-2,-5,-8,-16,-26,-31,-32,-24,-27,-48,-60,-65,-68,-67,-55,-55,-55.00000000000001
UK,Milton Keynes,residential,GB,1,2,3,3,3,3,-0,-0,1,0,0,1,1,0,-1,0,0,1,1,0,-0,-0,1,1,2,2,3,3,3,4,8,12,13,14,11,9,19,25,27,29,29,19,NA,19
UK,Monmouthshire,retail_recr,GB,-15,16,9,8,7,17,3,7,4,5,6,8,0,3,14,13,12,5,6,16,9,17,11,5,8,7,11,4,2,10,-9,-19,-20,-23,-45,-49,-36,-66,-69,-71,-75,-84,-85,-85
UK,Monmouthshire,grocery_pharm,GB,-6,4,-1,-3,-1,-2,1,-1,5,7,2,2,-2,1,6,5,7,1,7,2,1,-2,0,0,2,6,5,7,6,17,17,10,11,1,-1,-19,-17,-37,-38,-42,-44,-50,-56,-56.00000000000001
UK,Monmouthshire,parks,GB,-15,22,18,12,6,8,-8,-9,-6,8,10,13,-27,-27,1,12,16,-8,4,12,0,-1,-4,-4,10,4,15,5,-19,26,-8,-18,-17,2,12,14,-4,-24,-16,-23,-42,-66,-61,-61
UK,Monmouthshire,transit,GB,-21,0,-13,-8,-4,6,15,6,8,4,6,2,1,-1,0,3,4,2,3,4,3,0,11,2,6,12,18,15,13,11,-8,-18,-22,-18,-9,-13,-27,-51,-50,-57,-55,-57,-58,-57.99999999999999
UK,Monmouthshire,workplace,GB,-9,-24,-24,-22,-21,-21,-4,-2,-3,-0,0,0,-2,-0,5,1,2,-2,2,0,-1,-0,-1,-1,-2,-1,-3,1,-4,-8,-14,-22,-27,-29,-25,-25,-46,-59,-64,-65,-66,-54,-47,-47
