Country,Country code,Category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Spain,ES,Transit stations,5,3,4,2,5,6,14,11,4,3,1,6,2,6,5,-3,1,2,0,-0,4,8,0,-1,-9,-16,-32,-52,-71,-71,-74,-76,-80,-80,-84,-87,-81,-81,-82,-82,-83,-86,-88
Spain,ES,Workplace,-1,3,3,3,3,2,2,1,-7,-6,-0,1,-11,-1,1,-3,3,3,2,-1,1,1,3,2,-2,-5,-17,-31,-48,-52,-59,-60,-71,-66,-63,-65,-65,-67,-67,-68,-68,-64,-64
Spain,ES,Residential,-2,-1,-0,-1,-1,-2,-2,-3,-0,1,-0,-2,0,-1,-2,1,-0,-0,-0,0,-1,-2,-1,-0,1,3,8,14,17,23,25,26,31,32,26,22,28,29,30,30,33,26,22
Germany,DE,Retail & recreation,7,2,2,3,2,2,-1,-0,2,-1,-3,-5,3,-1,8,2,-0,2,-4,-3,1,12,-1,-7,-1,-7,-9,-17,-12,-7,-21,-34,-45,-50,-69,-71,-57,-59,-58,-59,-59,-66,-77
Germany,DE,Grocery & pharmacy,10,2,2,0,-1,2,-2,9,-5,-1,-0,3,11,5,18,8,5,2,0,1,-0,19,2,-2,2,6,19,9,13,22,11,5,-3,-2,-24,-35,-16,-18,-18,-16,-14,-21,-51
Germany,DE,Parks,9,7,10,6,14,15,26,-24,17,15,-0,-3,9,9,21,9,8,14,-0,-11,19,30,7,-13,17,4,-3,33,75,40,31,44,15,-14,-31,1,-5,9,11,3,21,33,-49
Germany,DE,Transit stations,6,1,1,-1,3,-1,9,2,-5,-5,-7,-5,-2,1,4,-1,-3,-4,-5,-7,-2,2,-5,-8,-7,-9,-15,-19,-16,-25,-35,-39,-46,-52,-59,-58,-56,-56,-56,-57,-56,-53,-68
Germany,DE,Workplace,-1,-2,-1,-1,-4,-8,-3,-3,-20,-13,-5,-4,-5,-1,1,0,0,0,-0,-1,0,1,-1,-1,-1,-2,-4,-3,-5,-18,-25,-30,-33,-36,-31,-34,-41,-43,-43,-44,-44,-33,-39
Germany,DE,Residential,-0,0,1,1,1,2,0,0,4,4,2,2,2,1,0,0,1,1,1,2,1,-0,1,3,2,2,4,4,2,6,10,11,14,16,13,10,16,18,18,18,19,12,11
USA,US,Retail & recreation,7,6,0,2,1,2,7,7,2,4,7,8,8,12,13,7,11,8,8,5,10,10,6,6,8,6,2,-6,-9,-8,-18,-24,-28,-32,-40,-44,-38,-39,-40,-40,-42,-48,-47
USA,US,Grocery & pharmacy,1,0,-1,-0,-0,-2,3,3,1,1,2,3,3,7,9,6,10,6,7,3,8,7,6,7,10,23,26,18,12,21,14,8,7,5,-2,-13,-10,-12,-15,-14,-16,-19,-22
USA,US,Parks,16,28,6,8,4,4,23,23,9,9,5,12,10,21,18,10,20,17,21,12,29,40,31,18,26,19,4,3,5,-1,8,6,2,-2,-3,-12,-23,-10,-7,3,-7,-25,-19
USA,US,Transit stations,2,-9,1,1,0,1,5,5,1,2,3,4,5,7,7,2,3,2,2,2,7,5,-1,-3,-2,-6,-10,-10,-13,-22,-26,-30,-36,-37,-36,-44,-47,-46,-47,-48,-49,-49,-51
